id,MoE-Inner-Warp,MoE-Inner-Weft,SM-Inner,MoE-Outer-Warp,MoE-Outer-Weft,SM-Outer,Friction Coefficient,Axial Load,Pre-strain,sample,Bunching (mm),image-front,image-s1,image-s2
65,100,340,3.128,90,70,0.484,0.14,6.60E-05,Inside jacket 0.44%,sample-1064,0.736866561,sample-1064_FrontView.jpg,sample-1064_SideView_1.jpg,sample-1064_SideView_2.jpg
66,100,340,3.128,90,70,0.484,0.14,6.60E-05,Outside jacket 0.5%,sample-1065,0.793180525,sample-1065_FrontView.jpg,sample-1065_SideView_1.jpg,sample-1065_SideView_2.jpg
67,100,340,3.128,90,70,0.484,0.2,3.00E-05,Inside jacket 1.6%,sample-1066,16.96161924,sample-1066_FrontView.jpg,sample-1066_SideView_1.jpg,sample-1066_SideView_2.jpg
68,100,340,3.128,90,70,0.484,0.2,3.00E-05,Inside jacket 0.44%,sample-1067,0.727177023,sample-1067_FrontView.jpg,sample-1067_SideView_1.jpg,sample-1067_SideView_2.jpg
69,100,340,3.128,90,70,0.484,0.2,3.00E-05,Outside jacket 0.5%,sample-1068,0.853311859,sample-1068_FrontView.jpg,sample-1068_SideView_1.jpg,sample-1068_SideView_2.jpg
70,100,340,3.128,90,70,0.484,0.2,6.60E-05,Inside jacket 1.6%,sample-1069,9.018964153,sample-1069_FrontView.jpg,sample-1069_SideView_1.jpg,sample-1069_SideView_2.jpg
71,100,340,3.128,90,70,0.484,0.2,6.60E-05,Inside jacket 0.44%,sample-1070,0.856759122,sample-1070_FrontView.jpg,sample-1070_SideView_1.jpg,sample-1070_SideView_2.jpg
72,100,340,3.128,90,70,0.484,0.2,6.60E-05,Outside jacket 0.5%,sample-1071,0.855363383,sample-1071_FrontView.jpg,sample-1071_SideView_1.jpg,sample-1071_SideView_2.jpg
73,100,340,3.128,90,70,1.79,0.14,3.00E-05,Inside jacket 1.6%,sample-1072,12.25267118,sample-1072_FrontView.jpg,sample-1072_SideView_1.jpg,sample-1072_SideView_2.jpg
74,100,340,3.128,90,70,1.79,0.14,3.00E-05,Inside jacket 0.44%,sample-1073,0.70481183,sample-1073_FrontView.jpg,sample-1073_SideView_1.jpg,sample-1073_SideView_2.jpg
75,100,340,3.128,90,70,1.79,0.14,3.00E-05,Outside jacket 0.5%,sample-1074,0.765542701,sample-1074_FrontView.jpg,sample-1074_SideView_1.jpg,sample-1074_SideView_2.jpg
76,100,340,3.128,90,70,1.79,0.14,6.60E-05,Inside jacket 1.6%,sample-1075,18.94848229,sample-1075_FrontView.jpg,sample-1075_SideView_1.jpg,sample-1075_SideView_2.jpg
77,100,340,3.128,90,70,1.79,0.14,6.60E-05,Inside jacket 0.44%,sample-1076,0.637140653,sample-1076_FrontView.jpg,sample-1076_SideView_1.jpg,sample-1076_SideView_2.jpg
78,100,340,3.128,90,70,1.79,0.14,6.60E-05,Outside jacket 0.5%,sample-1077,0.732129057,sample-1077_FrontView.jpg,sample-1077_SideView_1.jpg,sample-1077_SideView_2.jpg
79,100,340,3.128,90,70,1.79,0.2,3.00E-05,Inside jacket 1.6%,sample-1078,19.58253462,sample-1078_FrontView.jpg,sample-1078_SideView_1.jpg,sample-1078_SideView_2.jpg
80,100,340,3.128,90,70,1.79,0.2,3.00E-05,Inside jacket 0.44%,sample-1079,0.566336514,sample-1079_FrontView.jpg,sample-1079_SideView_1.jpg,sample-1079_SideView_2.jpg
