SI,e1,e2,load,fc,count,len,amp,image
217,0.1,0.15,10,15,6,33.45,2.6418,Snaking_E1_0_E2_4_Fric_3_load_2.jpg
218,0.1,0.15,12,15,7,41.69,2.44144,Snaking_E1_0_E2_4_Fric_3_load_3.jpg
219,0.1,0.15,14,15,10,42.82,4.01082,Snaking_E1_0_E2_4_Fric_3_load_4.jpg
220,0.1,0.15,6,20,5,9.9,0.440873,Snaking_E1_0_E2_4_Fric_4_load_0.jpg
221,0.1,0.15,8,20,8,31.09,2.2395,Snaking_E1_0_E2_4_Fric_4_load_1.jpg
222,0.1,0.15,10,20,9,35.37,2.54643,Snaking_E1_0_E2_4_Fric_4_load_2.jpg
223,0.1,0.15,12,20,5,23.52,2.65319,Snaking_E1_0_E2_4_Fric_4_load_3.jpg
224,0.1,0.15,14,20,8,35.41,2.86834,Snaking_E1_0_E2_4_Fric_4_load_4.jpg
225,0.1,0.15,6,25,5,8.85,0.391483,Snaking_E1_0_E2_4_Fric_5_load_0.jpg
226,0.1,0.15,8,25,9,26.9,1.64935,Snaking_E1_0_E2_4_Fric_5_load_1.jpg
227,0.1,0.15,10,25,10,34.38,2.44619,Snaking_E1_0_E2_4_Fric_5_load_2.jpg
228,0.1,0.15,12,25,7,41.65,2.66921,Snaking_E1_0_E2_4_Fric_5_load_3.jpg
229,0.1,0.15,14,25,8,48.34,3.97133,Snaking_E1_0_E2_4_Fric_5_load_4.jpg
230,0.1,0.15,6,30,4,6.88,0.397441,Snaking_E1_0_E2_4_Fric_6_load_0.jpg
231,0.1,0.15,8,30,10,29.49,1.33857,Snaking_E1_0_E2_4_Fric_6_load_1.jpg
232,0.1,0.15,10,30,9,34.82,2.89671,Snaking_E1_0_E2_4_Fric_6_load_2.jpg
233,0.1,0.15,12,30,6,42.04,3.35468,Snaking_E1_0_E2_4_Fric_6_load_3.jpg
234,0.1,0.15,14,30,8,43.75,4.51228,Snaking_E1_0_E2_4_Fric_6_load_4.jpg
235,0.1,0.15,6,35,5,9.35,0.394781,Snaking_E1_0_E2_4_Fric_7_load_0.jpg
236,0.1,0.15,8,35,9,25.97,1.27193,Snaking_E1_0_E2_4_Fric_7_load_1.jpg
237,0.1,0.15,10,35,8,37.84,2.23472,Snaking_E1_0_E2_4_Fric_7_load_2.jpg
238,0.1,0.15,12,35,8,42.13,2.38309,Snaking_E1_0_E2_4_Fric_7_load_3.jpg
239,0.1,0.15,14,35,9,44.55,6.05167,Snaking_E1_0_E2_4_Fric_7_load_4.jpg
240,0.1,0.15,6,40,5,9.89,0.545646,Snaking_E1_0_E2_4_Fric_8_load_0.jpg
241,0.1,0.15,8,40,8,31.1,2.26965,Snaking_E1_0_E2_4_Fric_8_load_1.jpg
242,0.1,0.15,10,40,8,36.36,2.64515,Snaking_E1_0_E2_4_Fric_8_load_2.jpg
243,0.1,0.15,12,40,7,37.09,2.71245,Snaking_E1_0_E2_4_Fric_8_load_3.jpg
244,0.1,0.15,14,40,7,42.82,3.38664,Snaking_E1_0_E2_4_Fric_8_load_4.jpg
245,0.1,0.15,6,45,5,8.81,0.383619,Snaking_E1_0_E2_4_Fric_9_load_0.jpg
246,0.1,0.15,8,45,8,22.92,1.97609,Snaking_E1_0_E2_4_Fric_9_load_1.jpg
247,0.1,0.15,10,45,8,37.35,2.07573,Snaking_E1_0_E2_4_Fric_9_load_2.jpg
248,0.1,0.15,12,45,10,42.09,3.74942,Snaking_E1_0_E2_4_Fric_9_load_3.jpg
249,0.1,0.15,14,45,9,45.01,5.95326,Snaking_E1_0_E2_4_Fric_9_load_4.jpg
250,0.12,0.07,6,0.01,7,14.34,1.21455,Snaking_E1_1_E2_0_Fric_0_load_0.jpg
251,0.12,0.07,8,0.01,10,29.47,1.80022,Snaking_E1_1_E2_0_Fric_0_load_1.jpg
252,0.12,0.07,10,0.01,10,36.27,3.23129,Snaking_E1_1_E2_0_Fric_0_load_2.jpg
253,0.12,0.07,12,0.01,10,40.67,5.19504,Snaking_E1_1_E2_0_Fric_0_load_3.jpg
254,0.12,0.07,14,0.01,11,41.94,3.43146,Snaking_E1_1_E2_0_Fric_0_load_4.jpg
255,0.12,0.07,6,5,7,14.34,1.05042,Snaking_E1_1_E2_0_Fric_1_load_0.jpg
